FEN,Evaluation
8/7B/1p1k1p2/3p3p/7P/1Pb2K2/5P2/8 b - -,-48
8/1pbr2p1/2p2pkp/8/1P1Bb3/4P1PP/4BP2/2R3K1 b - -,-48
rkr5/1b3ppQ/pb2p3/4q3/3N4/1PP2PP1/PB1P2KP/5R2 b - -,-576
r2qkbnr/pp2pppp/2n5/2p5/2B2Pb1/2N2pP1/PPPP3P/R1BQK2R w KQkq -,-579
rnbq1rk1/1pp1n1b1/1p1p2pp/3Np3/2P1Pp2/3P1N2/PP2BPPP/R2QK2R w KQ -,-507
r2qk1nr/pp1n2pp/5p2/2bp4/5B2/4P3/PPP2PPP/RN2K1NR w KQkq -,-1109
r1bq1rk1/ppp2pB1/2np2pp/8/2P3P1/1P1Bn2P/P4P2/R2QK1NR w KQ -,-201
5r1k/1pp3p1/p2p4/8/3N4/8/bPP3PP/6K1 w - -,-681
r1bq1rk1/pp2bppn/4p3/2np4/5B2/2P1PN2/PPQ2PPP/RN3RK1 w - -,-287
8/8/P7/1r3p1p/2kbK2P/4P1P1/5P2/8 w - -,-729
3r1bk1/1pp2pp1/q1b1p2p/p2nP3/3P4/PQ3NPP/3B1PB1/2R2RK1 w - -,499
2r3k1/1p4bR/2p1p1p1/Pp3rP1/3PpP2/2B4R/5K2/8 w - -,-33
r4rk1/pp1b2pp/1b1B4/3P4/4Pp2/1P3R2/1P2p1PP/2R4K b - -,-386
r3kbnr/ppp2ppp/2n5/3p1B2/8/P1P2P2/4KPPP/RNB4R b kq -,-205
2rr2k1/p4pb1/1p4p1/3b3p/P6P/2P2P2/3B1P2/1R2K2R w K -,-776
r3kb1r/pb3ppp/2n1pq2/2p5/Q7/2P2N2/PP3PPP/R1B1KB1R w KQkq -,94
r1bq1rk1/1pp1bpp1/p4p1p/3p4/P2P3P/5NP1/2P1PPB1/RNQ2RK1 b - -,201
3r1rk1/1pp1bp2/2n4p/4p1pq/Q7/2NPB1P1/PP2PP1P/R4RK1 w - -,97
5k2/8/p3p3/R6p/5PpP/4K3/8/8 b - -,418
6k1/2rq4/2p3pp/1p1p1p2/p1nP1P2/P2N2P1/1P1nR1BP/2R3K1 b - -,-822
r2qk2r/pb2bpp1/1pnppn1p/2p5/2PP1B2/P1N2NP1/1P2PP1P/R2QKR1B b Qkq -,-90
r1bq1rk1/ppp2pp1/2n1pn1p/1NP5/3P4/1P6/P3B1PN/R1BQ1RK1 b - -,83
7r/Bppn1pbp/5p2/3k2p1/8/8/PP1N1PPP/4R1K1 b - -,-216
r2qkb1r/pbpp1ppp/1p2pn2/8/1n5P/1P3NP1/PBPPPPB1/RN1QK2R b KQkq -,-148
1r1k1r2/p3ppb1/2p2npp/8/P1B5/2N5/1Pb2PPP/R1B1R1K1 w - -,66
r5k1/5p2/2p3pp/q2p4/8/6P1/3Q1P1P/4R1K1 w - -,-173
2bqkb1r/1ppp1ppp/4pn2/4N3/1r6/2N1P3/PBPPBPPP/1R1QK2R b Kk -,428
3r4/5kpp/2p5/6R1/n1P1K3/8/P1P2P1P/8 b - -,-217
8/3k4/8/6R1/5p1p/1n1K1B1P/6P1/8 b - -,689
rn1q1rk1/pbp1bppp/1p2p3/3p4/1P1P4/2P1PN2/P3BPPP/R2Q1NK1 b - -,-633
2rq1rk1/1b2p3/1p3p1p/p2p4/3P4/4P1PP/PP2P1BK/R2Q1R2 w - -,353
rnb1r1k1/pp3ppp/2p2N2/2bqp3/8/6P1/PPPPQPBP/R1B1K1NR b KQ -,744
8/8/3r3k/6p1/4pp2/1p6/5P2/Q4K2 w - -,151
rn2k2r/1p3ppp/2pqpn2/p2p4/3P4/1P2PN2/PB2BPPP/1R1Q1RK1 w kq -,585
rnbq1rk1/1p2ppbp/p2p1np1/3P4/1PP5/2N2N2/PB3PPP/R2QKB1R b KQ -,-28
rn4k1/p3p3/2p1p1pp/7B/8/8/NPP2PPP/4RbK1 b - -,84
8/1p3kB1/p7/P7/1b2R1p1/1K2P1P1/5P2/8 b - -,720
6k1/5p1p/N5p1/8/8/b3rP1P/6P1/3R2K1 w - -,-13
r4rk1/1b3p1p/1p1p2p1/pPnPp1Nn/4P3/1P4PP/P1B2P2/R4RK1 b - -,-430
rn1k1b1r/pb3p1p/1p1p4/2pP1p2/2P5/8/PP3PPP/RQ2KB1R b KQ -,489
r1bq1rk1/ppp2p1p/6p1/4n3/4N3/8/PPP1QPPP/R1B2RK1 w - -,312
5rk1/p1q1b2p/1p4p1/4np2/8/1P2P3/PB2QPPP/1R3RK1 w - -,498
r2qrnk1/1p3pp1/2p2n1p/p7/2b4N/2N1P1P1/P1QB1PBP/1R3RK1 w - -,446
3q1rk1/1b2bppp/pp2p3/6N1/P2P4/1P6/5PPP/2nR2K1 w - -,-2163
3r2k1/p5p1/1p3p1p/4pP2/Pb1pP3/3K2P1/1PP1N2P/R7 b - -,95
rnbqk2r/ppp1bp1p/3p1np1/8/3NPB2/2N4P/PPP2P2/R2QKB1R w KQkq -,92
r3r2k/1pnb2b1/2p2qPn/p2p1p2/3P1Np1/3BP3/PPQB1PP1/2R2RK1 b - -,-35
1rb2rk1/q2nppbp/p2p2p1/3P4/4PP2/2NPN3/1P2B1PP/R1B2RK1 b - -,-809
r4rk1/pp1bppbp/n1p2np1/3P4/5P2/3Pq1PP/PP1N2B1/R1BQ1RK1 w - -,-537
1k2r3/pqp2p1p/1p1p1Q2/r4P2/4b3/P1N2B2/1PP3PP/4RRK1 b - -,664
2b2rk1/4pp1p/3q2p1/p2p4/Pp1Q4/1P2PNP1/5PBP/R5K1 w - -,471
1r4k1/8/6N1/pb6/4P2p/P2pKP2/1P4P1/2R5 b - -,341
3r2k1/2p1nppp/1p4b1/8/p1B5/1PP1P3/1P4PP/4R1K1 b - -,-554
2b3k1/1r3r2/p2B4/3P1ppp/1b6/1B2P3/5PPP/R5K1 w - -,-446
5k2/5p2/6bR/pP6/P2p4/5r2/3K4/8 w - -,-257
r2q1rk1/p1pp1ppp/1pn1p3/4P3/2BP4/P1P2P2/P4P1P/R1BQ1RK1 b - -,297
2r2r2/3qbp1k/2p2p1p/p2p4/8/PP2PN1P/3N1PP1/Q2R2K1 w - -,-63
5rk1/pb1q1p2/1p2p2p/1P4p1/3b4/4Q1PP/PP2PPB1/2R3K1 w - -,-357
rnbq1rk1/p1pn1ppp/p7/4p3/1b1PP3/5N2/1P3PPP/RNBQKB1R w KQ -,-8
r2r2k1/1bp2pbp/6p1/1BpPp1q1/2P1PnN1/P1N4P/1P3PP1/3RR1K1 b - -,-1089
7r/1pkb2p1/1pn1pp2/1B1p4/Pb2n2p/4PN1P/1PP1KPP1/R2R4 b - -,-346
8/8/6p1/5p1p/1k5P/4PP2/5KP1/8 w - -,212
8/7k/p2p3p/5p2/8/2B3P1/q6K/4Q3 w - -,200
r1bqnrk1/1p2bppp/p3p3/2p1P3/5P2/1P6/PBPPB1PP/RN1Q1RK1 w - -,223
r6k/5p1p/3B2p1/p7/4P3/4bPP1/PPP3BP/1R3b1K b - -,776
rnbqk2r/ppp2pbp/4p1p1/3P4/3P1B2/4P3/PP2BPPP/R1Q1K2R b KQkq -,-81
r4rk1/1qp1b1pp/2p1pn2/p1P2p2/1P1P1P2/1PB1PP2/3QN2P/R4RK1 b - -,56
2n2rk1/5ppp/4p3/4P3/8/P2Q2P1/1P5P/1KR4R w - -,1544
r3kr2/pp2ppbp/5np1/2p5/2P3P1/2N1P2P/PPn1BP2/R1B2RK1 w - -,158
8/5p2/3Qb1k1/1P5p/7P/3N4/2q2P2/7K b - -,297
3r1rk1/1Bpn2b1/p3q2p/4pp2/3n3P/3PB1P1/PPP2Q2/R2N1RK1 w - -,124
5k2/1p6/8/4p1RN/2P4P/3P1KP1/1r6/q7 b - -,-664
rn2k2r/pp2ppbp/6p1/5b2/q2PpB2/4PN2/PP3PPP/RN3K1R w kq -,-1311
5bk1/1p2pp2/p5pp/P2n4/1P1Pp2P/1Q4P1/1B2PP2/5K2 b - -,799
8/3k4/7R/1R4P1/1P6/P3n2P/2r5/4K3 b - -,956
r2qk2r/pb1p2pp/1pnP4/6p1/3p1n2/5N2/PPP1BPPP/R2Q1RK1 w kq -,-61
r2r2k1/BQp1bpp1/5n1p/8/8/2Pq2P1/PP3P1P/R4RK1 b - -,-412
r2B1rk1/pppb1pbp/n2p2p1/4p3/1PP1P3/2n2N2/P4PPP/R2QKB1R w KQ -,610
1n1q1rk1/Q2bpp1p/6p1/8/8/2b3P1/P3PPKP/R1B2R2 w - -,-143
3r2k1/pp1r2bp/5pp1/2P1p2n/1PP4Q/R4P2/P4P1P/2B1R1K1 b - -,865
8/4kpp1/7p/7K/4Q2P/4P3/5rP1/8 b - -,526
r1bqk2r/3pnppp/p7/1pbP4/8/2NQ1N2/PP3PPP/R1B1KB1R w KQkq -,587
rnb1kb1r/pp2pp2/2q2n1p/3N2p1/3P4/P4NB1/1P2PPPP/2RQKB1R b Kkq -,322
2r2rk1/pp3pbp/3p1pp1/2n5/1qbN4/2N1P3/PPBB1PPP/R2R2K1 w - -,-884
6k1/p2r2p1/R6p/PP3p2/4p2P/6P1/2r2P2/4R1K1 b - -,-57
1k5r/pp1Pr1p1/n2b1pp1/4pn2/1PP1N3/P4NB1/2Q2PPP/R4RK1 w - -,1397
1r1qkbnr/1pp2ppp/p1n1p3/3p4/3N4/1P1PP2P/PB1P1PP1/RNQ1K2R b KQk -,-170
rnbq1k1r/4p1b1/1p4p1/pBpn3p/5P2/4P3/PP1P2PP/RNBQ1RK1 w - -,-206
8/8/p2r1k2/R5p1/1PR5/5K2/6P1/1r6 w - -,56
4k3/p7/p3r3/R5PK/3B3P/2P5/8/2r5 w - -,192
4r1k1/4q3/b4pp1/N3n2p/3B4/4P3/P1Q2PP1/2R1K3 b - -,-146
7r/1pk3p1/p4pB1/4p1p1/bPPr4/3P3P/5PP1/4R1K1 w - -,-730
r1b1k2r/pp2bppp/1q1p1n2/2p5/3pP3/2NP2PP/PPPB1PB1/R2QKR2 w Qkq -,0
3qk2r/1p3pp1/4p2p/4nb2/2Pp4/3P3P/4BPP1/2B1NNK1 b k -,-1133
1r4k1/8/8/p2p3b/4pq2/P3R3/5PP1/5RK1 w - -,-1074
2kr1b1r/1pp2ppp/p7/2P5/1P6/3b1NP1/PB1P3P/RNK5 b - -,-404
5r1k/1p2n3/p5pp/3PPp2/8/P2N2P1/1PR3BP/7K w - -,995
4r1k1/1p3pp1/p2qp2p/3pn3/1PrQP3/2P2B2/P4PPP/3R1RK1 w - -,-142
5k2/2pb1ppR/3q4/N7/2Pp3Q/6P1/P4PPK/1r6 b - -,-140
3rkb1r/1p2pppp/p1n3q1/2p2bB1/2P5/3P1N1P/PP3PP1/R1KQ1B1R w k -,-118
rq3rk1/1p3pb1/p1ppn1p1/PP2p3/2P1P3/3PN1P1/3Q2BP/1R3RK1 b - -,45
rnbq1rk1/pp2ppbp/2p3p1/3p4/1B1Pn3/4PNPP/PPP2PB1/RN1Q1RK1 b - -,-126
r1b1k2r/pp1pbppp/4p3/4q3/8/P1P5/1B2BPPP/R2Q1RK1 w kq -,-66
1r2r1k1/1pqb1p2/2pp1p1p/p1n5/P1P1PNnP/1P4P1/2QN1P2/3RRBK1 w - -,116
1r1q1rk1/3b1pb1/p2p2pp/1ppP4/3pPP2/1P1P3P/PB1QB1P1/R3R1K1 b - -,-105
8/5p2/3R3k/6p1/6Pn/7P/5K2/8 b - -,210
r1b1kb1r/pp1n1pp1/7p/3pP2n/7B/5N2/PqPNBPPP/R2Q1RK1 b kq -,30
5rk1/pp4pp/4p1q1/3bPp2/PP2n3/8/4BPPP/2BQ1RK1 b - -,-333
2Q5/8/3k4/6p1/8/p4KP1/r3P2P/8 w - -,746
8/N7/1p2kb2/p1p5/P1P2P2/1P1p2K1/6P1/8 b - -,-423
3k4/5R2/3P4/6P1/p6p/r7/8/4K3 w - -,81
7R/5n2/8/6k1/5p2/P3p3/2P1K3/8 w - -,203
r5k1/4Qpbp/p4np1/8/5B2/3P2P1/bq3P1P/R4RK1 w - -,-89
rn2qrk1/ppP2pp1/5n1p/4p3/4P1b1/2PB1N2/PP3PPP/R1BQ1RK1 b - -,295
6k1/3b3p/1b1Bp2P/2p2p2/2p1PP2/p1P2B2/P4K2/8 b - -,-8
r3k2r/p1pbp2p/1pn3pb/8/3qN3/8/PPPNQPPP/R1B2RK1 w kq -,285
r3kb1r/pp1b1ppp/2n2n2/qB6/4p3/2N1BN2/PP3PPP/R2Q1RK1 w kq -,43
r3kbnr/1p3ppp/4p3/nNPpP3/8/4B3/P1P2PPP/3RK2R w Kkq -,-290
r4q1k/ppp1b1p1/2np3p/4pb2/2P5/P1NQ4/1P1B1PPP/R4RK1 w - -,50
rnbq1rk1/pp4bp/4pnp1/8/3P3P/2NB1N2/PP3PP1/R1BQK2R w KQ -,186
r1bqkb1r/pp3ppp/3p4/2pPn3/8/5NP1/PP2PPBP/R1BQK2R b KQkq -,-22
1k6/8/1pp1p1p1/4PpBp/1PK2P2/6q1/1Q6/8 w - -,204
r2qkr2/5ppp/ppp1pnb1/8/8/2N5/PPP1BPPP/R3QRK1 w q -,110
8/4k3/r2p4/3p4/3P1K2/8/2B2P2/8 w - -,-110
3r1kr1/p1p3pp/n7/1p1p4/3Q4/7P/PPP2P1P/RN2R1K1 b - -,1266
1kr4r/p3b1p1/2p1pp2/7p/2RP4/P3PPPN/1P5P/5RK1 b - -,107
8/8/8/4p1p1/5kP1/R4P2/5K2/3r4 w - -,-13
8/1b6/8/1P1k1p1p/1B3P1P/P2pp3/2r3P1/R4K2 b - -,-106
1r6/p1kr1pp1/2pbbn1p/2p1p3/2P1P3/P1N2N1P/1P1RBPP1/3R3K b - -,57
r1bq1rk1/pp1n1pbp/2p1p3/3p4/2PPNp2/4PN1P/PPQ1BPP1/R4RK1 w - -,321
2r2rk1/pQ2bpp1/4p1p1/2qp4/2n2B2/2P2NP1/P3PPB1/2R2RK1 w - -,276
8/5R1p/4p3/3pk3/8/N3P3/P2PKP1q/8 w - -,-69
rn2kbr1/pp3p1p/1q3p2/2p5/2b5/1P2P1P1/P4P1P/RN1QK1NR b KQq -,-686
2kr1b1r/1pp2ppp/p7/8/8/3PPN1P/Pn3PP1/3RKB1R w K -,34
rn1qk2r/1bpp1p1p/1p2pbp1/p7/2P2P2/2NP1N2/PP2B1PP/R1BQ1RK1 w kq -,513
r1bq1rk1/pp1n3p/2p2bp1/4pp2/2P5/2N2NP1/PP2PPBP/R1Q2RK1 w - -,51
1r5k/5bp1/4q2p/3pP3/1P1P3P/2Q5/2B5/4R1K1 b - -,-41
r1b1k1nr/p4ppp/2p1p3/1q1p4/1b1P1B2/2N5/PPP2PPP/R1Q1K2R w KQkq -,-393
r2qk2r/pp1n1p2/2pbpnbp/3p2p1/8/2NP1NP1/PPPBQPBP/R4RK1 w kq -,-55
8/p6p/4p1k1/8/6q1/4Q3/4KP2/8 w - -,-106
8/r5kp/2P1R1p1/8/4P2P/5PP1/6K1/8 w - -,449
