rnbqkb1r/ppp1pppp/5n2/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq -,147
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,16
r1b5/4kq2/p1Bbp1Qp/6p1/8/4B1P1/PPP4P/6K1 w - -,-361
5k1r/p4p2/7p/3pPN2/8/4BPb1/1r4P1/2R3K1 b - -,-390
rnbqkb1r/pppppp1p/5np1/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq -,23
rnbqkbnr/ppp2ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq -,24
rnbqkbnr/ppp1pppp/8/6N1/4p3/8/PPPP1PPP/RNBQKB1R b KQkq -,-159
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,8
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3P3P/PPP2PP1/RNBQKB1R b KQkq -,84
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq -,13
r1b1k1nr/pp1pppbp/1qn3p1/8/2PNP3/4B3/PP3PPP/RN1QKB1R w KQkq -,0
rnbqk1nr/ppp2p1p/3p3b/8/3PPppP/2N5/PPP3P1/R1BQKBNR b KQkq -,-52
rnbqk2r/ppp1ppbp/6p1/3n4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,-4
3r2k1/1pp4p/p1n1q1p1/2Q5/1P2B3/P3P1Pb/3N1R1P/6K1 b - -,122
r1bqkbnr/1p1ppppp/p1B5/2p5/4P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,310
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/2N1PQ2/PPP2PPP/R3KBNR b KQkq -,15
rnbqkb1r/ppp2ppp/4p3/3n4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,5
rnbq1rk1/ppppppbp/5np1/8/2PP4/6P1/PP2PPBP/RNBQK1NR w KQ -,41
rnbqk2r/pp3ppp/2pbpn2/3p4/3P1B2/2N1PQ2/PPP2PPP/R3KBNR w KQkq -,0
2b1kr2/pr5R/1p2pQ2/5p2/2pP4/2P5/PP3PB1/R5K1 b - -,1008
rnbq1rk1/ppp1ppbp/6p1/3n4/3PN3/5N2/PPP2PPP/R1BQKB1R w KQ -,-6
r1bqkb1r/pp3ppp/4pn2/2p5/3P4/3B1N2/PPP2PPP/R1BQK2R w KQkq -,12
rnb1kbnr/ppp1pppp/8/3q2N1/4p3/8/PPPP1PPP/RNBQKB1R w KQkq -,-170
rnbqkb1r/ppp2ppp/4pn2/8/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,31
rnbq1rk1/ppppppbp/5np1/8/2PP4/5NP1/PP2PPBP/RNBQK2R b KQ -,35
r1bqkbnr/pp1n1ppp/2p5/4p3/2B1P3/5N2/PPP2PPP/RNBQK2R w KQkq -,51
r1b5/4kq2/p1Bbp2Q/6p1/8/4B1P1/PPP4P/6K1 b - -,-283
r1bqkbnr/1p2pppp/p1p5/2p5/4PP2/2N5/PPPP2PP/R1BQK1NR b KQkq -,-61
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq -,4
r7/3bkq2/p1Bbp2Q/6p1/8/4B1P1/PPP4P/6K1 w - -,-304
3k4/7R/p2P4/2p1b3/8/2P3rB/P4r2/1K2R3 w - -,164
rnbqk2r/ppp2ppp/3Bpn2/3p4/3P4/2N1P3/PPP2PPP/R2QKBNR b KQkq -,378
3r2k1/1pp4p/p1n3p1/2Q5/1P2q3/P3P1Pb/3N1R1P/6K1 w - -,-273
r1b1k1nr/pp1pppbp/1qn3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R b KQkq -,53
rnbk2nr/ppp2pbp/6p1/4p3/4P3/2N2N2/PPP2PPP/R1B1KB1R w KQ -,10
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - -,18
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N1P/PP3PP1/R1BQKB1R b KQ -,40
rnbq1rk1/ppppppbp/5np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQ -,37
2b1k3/pB5R/1p2pr2/5p2/2pP4/2P5/PP3P2/R5K1 b - -,518
r3k3/3b1q2/p1Bbp2Q/6B1/8/6P1/PPP4P/6K1 w - -,-104
r1bqkbnr/pp1ppp1p/2n3p1/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq -,13
rnbqkb1r/ppp1pppp/1n1P4/8/8/1B6/PPPP1PPP/RNBQK1NR b KQkq -,139
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,2
r1b1k2r/pp1pppbp/2N3p1/8/2B5/2n1B3/PPP2PPP/R3K2R w KQkq -,-113
5rk1/1pp4p/p1n3p1/8/1P2N3/P3P1Pb/5R1P/6K1 b - -,-255
r1bqk1nr/pp1pppbp/2n3p1/8/2PNP3/4B3/PP3PPP/RN1QKB1R b KQkq -,8
2r3k1/q5pp/4p3/2rp1p2/1p1B1P2/1P1QP3/P1R3PP/6K1 w - -,-150
r1b1k1nr/pp1pppbp/1qn3p1/5N2/2P1P3/4B3/PP3PPP/RN1QKB1R b KQkq -,23
rnbqkbnr/pppp1ppp/8/4p3/8/P1N5/1PPPPPPP/R1BQKBNR b KQkq -,-11
r1bq1rk1/p4ppp/2p2n2/3p2B1/1b6/2NB4/PPP2PPP/R2Q1RK1 w - -,-10
r1bqk2r/pppp1ppp/2n5/2b1P3/2Bpn3/2P2N2/PP3PPP/RNBQK2R w KQkq -,-90
rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -,1
r1bqk2r/ppp2ppp/2nbp3/3n4/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq -,13
r7/2k1Pp1p/p1n2p2/P1b1r3/2p5/2P3P1/5P1P/1R1Q2K1 w - -,23
2b1kr2/p6r/1p2pQ2/5p2/2pP4/2P5/PP3PB1/R5K1 w - -,366
rnbq1rk1/ppppppbp/5np1/4P3/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQ -,33
rnbqkbnr/ppp2ppp/8/3pP3/2P5/8/PP2PPPP/RNBQKBNR b KQkq -,131
r2q1rk1/pp1bppbp/2np1np1/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -,14
r1bqkb1r/ppp2p1p/2np4/4n1p1/2P5/2B1P3/PP3PPP/RN1QKBNR w KQkq -,7
rn1qk2r/pb1p1pp1/1p2pn1p/2p5/1bPP3B/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,-2
r4rk1/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNB3RK b - -,295
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,0
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - -,34
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,10
rnbqk2r/pp3pbp/3ppnp1/2pP4/2P1PP2/2N5/PP4PP/R1BQKBNR w KQkq -,44
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,9
2r3k1/q5pp/4p3/2Bp1p2/1p3P2/1P1QP3/P1R3PP/6K1 b - -,374
6k1/q5pp/4p3/2rp1p2/1p3P2/1P1QP3/P1R3PP/6K1 w - -,42
rnbqkbnr/ppp2ppp/8/3pp3/8/P1N5/1PPPPPPP/R1BQKBNR w KQkq -,-31
rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,132
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,39
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,10
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,24
r1bqk1nr/pp1pppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,76
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq -,26
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq -,20
r1bq1rk1/p4ppp/2pb1n2/3p2B1/8/2NB1Q2/PPP2PPP/R3R1K1 b - -,40
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,9
r3k2r/pBpp1ppp/1p6/2b1Pq2/8/1QPp1P2/PP1P3P/RNBR3K b kq -,544
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,-118
rk6/3QPp1p/p1n2p2/P1b1r3/2p5/2P3P1/5P1P/6K1 w - -,-514
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,21
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,15
r1b1k1nr/ppqpppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,69
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,-1
rnbqkb1r/pp3ppp/2p1pn2/3P4/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,146
r1bqkbnr/pp3ppp/2n1p3/3pP3/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,79
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,17
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,11
rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,21
1r2k2r/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNB3RK b k -,283
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq -,31
2rq1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 w - -,4
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,19
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/5N1P/PP1P1PP1/RNBQKB1R w KQkq -,-1
rnbqk2r/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,41
r1bq1rk1/pp1nppbp/3p1np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,27
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/3P1N1P/PP3PP1/RNBQKB1R b KQkq -,49
r1bqk1nr/ppp2pp1/1bnp3p/4p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R w KQkq -,27
r3Q3/2k2p1p/p1n2p2/P1b5/2p5/2P3P1/5P1P/6K1 w - -,-159
6k1/q5pp/4p3/2rp1p2/1p1B1P2/1P1QP3/P5PP/6K1 w - -,-146
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,-9
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,0
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,28
rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,18
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R w KQkq -,-2
rnbqkb1r/pp3ppp/3ppn2/6N1/2BpP3/8/PPP2PPP/RNBQK2R w KQkq -,-128
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR b KQkq -,32
r1bqkbnr/pp3ppp/2n1p3/2pp4/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,17
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,-3
1r2k2r/p1pp1ppp/1p6/2bQPP2/8/2Pp1P1q/PP1P3P/RNB3RK b k -,343
rnbqk2r/pp2ppbp/3p1np1/2P5/2P1P3/2N5/PP2BPPP/R1BQK1NR b KQkq -,113
8/1b1Q1ppk/p3p2p/1p1q4/3Ppb2/1P2B1P1/P6P/2R3K1 w - -,-36
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,11
rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,35
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,4
r1bqk2r/ppppbppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 w kq -,55
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -,5
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,6
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,-13
r1bqkbnr/pp1p1ppp/2n5/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,-8
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/3P1N1P/PP3PP1/RNBQKB1R w KQkq -,38
rnbqkbnr/p4ppp/2p1p3/1p6/P1pPP3/2N2N2/1P3PPP/R1BQKB1R b KQkq -,-66
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,46
rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR b KQkq -,105
rBbqk2r/pp3ppp/5n2/8/1bpP4/8/PP2B1PP/RN1Q1KNR b kq -,264
rnb1kbnr/ppp1pppp/8/3q2N1/4p3/3P4/PPP2PPP/RNBQKB1R b KQkq -,-159
rnbqk1nr/pp2ppbp/3p2p1/2p3B1/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq -,3
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/P2P1N1P/1P3PP1/RNBQKB1R b KQkq -,39
r1bqkbnr/pppp1ppp/2n5/8/2B1P3/5N2/PB3PPP/RN1QK2R b KQkq -,-157
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR w KQkq -,106
rnbqk1nr/ppp1ppbp/3p2p1/6B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,16
r1bqkbnr/1pp2ppp/p1p5/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,-78
rnbqk1nr/p4ppp/2p1p3/1p6/PbpPP3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,-69
r1bqkbnr/pp2pppp/2np4/2p5/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,-17
r1b1kbnr/1pp2ppp/p1p5/4N3/3qP3/8/PPPP1PPP/RNBQK2R w KQkq -,14
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -,11
r1bqk2r/1pp1bppp/p1np1n2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,2
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,15
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P3P/P1P5/2P2PP1/R1BQKBNR b KQkq -,120
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -,18
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,19
2rq1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1B3/PPN1BPPP/2RQ1RK1 b - -,0
rnb1kbnr/ppp1pppp/8/3q2N1/8/3B4/PPP2PPP/RNBQK2R b KQkq -,-128
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,0
r5k1/ppp2p1p/6pB/4n2n/3bP2q/2NB1p1P/PPP3PK/R2Q1R2 w - -,400
r1bqkb1r/ppp2ppp/2n1p3/3n4/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,26
rBbqk2r/pp3ppp/8/3n4/1bpP4/8/PP2B1PP/RN1Q1KNR w kq -,259
r1bqkbnr/pp3ppp/2n1p3/3pP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,-133
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,-8
r1bqkb1r/pp3ppp/2n2n2/4p3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,27
r1bqkb1r/ppp2ppp/2p5/4P3/4n3/3B4/PPPP1PPP/RNBQK2R b KQkq -,99
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,-10
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,-1
r1b1kb1r/ppp2ppp/2p5/4P3/3qn3/3B4/PPPP1PPP/RNBQK2R w KQkq -,63
rBbqk2r/pp3ppp/8/3n4/1bpP4/8/PP2BKPP/RN1Q2NR b kq -,261
rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -,-118
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,-1
r1b1kb1r/ppp2ppp/2p5/4P3/3qn3/3B4/PPPP1PPP/RNBQ1RK1 b kq -,98
r1bqkbnr/ppp2ppp/2n1p3/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,-118
r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq -,-18
r1bqkbnr/pppn1ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq -,28
rnbqk1nr/ppppppbp/6p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,20
r1bqkbnr/ppp2ppp/2n1p3/8/3PN3/4B3/PPP2PPP/R2QKBNR b KQkq -,24
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3P4/5N2/PP1B1PPP/RN1QKB1R b KQkq -,84
rnbqk1nr/ppppppbp/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,16
r3kb1r/ppp2ppp/2p1b3/4P3/3qn3/3B4/PPPP1PPP/RNBQ1RK1 w kq -,85
r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq -,120
rnbqkb1r/pppp1ppp/5n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq -,-96
r1bqkbnr/ppp2ppp/2n1p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq -,19
rnbqk1nr/ppppppbp/6p1/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq -,39
r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQK2R w KQkq -,-9
r1b1kb1r/ppp2ppp/2n1pq2/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQkq -,-11
rn3rk1/pbpp1ppp/1p2p3/6q1/2PP4/2n3P1/PPQ1PPBP/R3K2R w KQ -,-620
rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,15
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -,13
r1b1kb1r/ppp2ppp/2n1pq2/6B1/3P4/5N2/PPP2PPP/R2QKB1R b KQkq -,2
2r2rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P3Q1PP/RN2KR2 b Q -,355
rnbqkbnr/pppp2pp/4p3/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,19
rn3rk1/pBpp1ppp/1p2p3/6q1/2PP4/2n3P1/PPQ1PP1P/R3K2R b KQ -,-278
2r3k1/q5pp/4p3/1Qrp1p2/1p1B1P2/1P2P3/P1R3PP/6K1 b - -,-143
rnbqkb1r/pppp1ppp/8/4P3/2P2Bn1/8/PP2PPPP/RN1QKBNR b KQkq -,176
r1b1kb1r/ppp2ppp/2n1p3/5qB1/3P4/5N2/PPP2PPP/R2QKB1R w KQkq -,-6
2r3k1/q5pp/4p3/1Q1p1p2/1p1B1P2/1P2P3/P1r3PP/6K1 w - -,-699
r1bqkb1r/pppp1p1p/2n5/4n1p1/2P5/2B5/PP2PPPP/RN1QKBNR w KQkq -,12
r1b1kb1r/ppp2ppp/2n1p3/5qB1/3P4/3B1N2/PPP2PPP/R2QK2R b KQkq -,2
r1bqkb1r/pppp1p1p/2n5/4n1p1/2P5/2B1P3/PP3PPP/RN1QKBNR b KQkq -,24
r1bqkb1r/ppp2ppp/2n5/4p3/4p3/3B1N2/PPPP1PPP/R1BQK2R w KQkq -,-176
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P2q1/3B1N2/PPP2PPP/R2QK2R w KQkq -,23
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P2q1/3B1N1P/PPP2PP1/R2QK2R b KQkq -,26
r3r1k1/pp3pbp/1qp3p1/2B5/2BP2b1/Q1n2N2/P4PPP/3R1K1R b - -,-153
r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/5Q2/PPPP1PPP/RNB1K2R b KQkq -,24
2r2r1k/1pN1Qpbp/p4pp1/qb6/8/1B6/PP3PPP/2RR2K1 w - -,-94
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P4/3B1N1P/PPP2Pq1/R2QK2R w KQkq -,-103
r1b1k2r/ppppnppp/2n2q2/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R w KQkq -,1
2k1rb1r/ppp3p1/2n2q2/7p/4BP2/2P1BQ2/PP3P1P/2KR3R b - -,135
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P4/3B1N1P/PPP2PqR/R2QK3 b Qkq -,-106
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP1BPPPP/R2QKBNR b KQkq -,18
r5k1/ppp2p1p/6pB/8/3bP1nq/2NB2RP/PPP3P1/R2Q3K b - -,820
rn1qkb1r/pp3pp1/2p1pn1p/3p3b/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQkq -,22
r1bqkbnr/2pp1ppp/p1n5/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQK2R b KQkq -,-7
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R w KQkq -,9
r1b1k2r/ppp2pp1/2p5/2b5/3qP1p1/2N5/PPPPBPP1/R1BQ1RK1 w kq -,216
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/2N5/PP1BPPPP/R2QKBNR w KQkq -,15
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,0
rnbqk1nr/pp2ppbp/3p2p1/2p3B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,11
rnbqk1nr/ppp2pbp/3p2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,20
r1bqk1nr/pppp1ppp/8/4b3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,61
rnbqk1nr/pp2ppbp/3p2p1/6B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,-146
r1b1kb1r/ppp2ppp/2n5/3Bp1q1/8/5Q2/PPPP1PPP/RNB1K2R b KQkq -,-23
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,0
r3k3/ppp2pp1/2p1b3/8/3KP1p1/2N3q1/PPPPB2r/R1BQ1R2 w q -,275
r1bqk1nr/ppp3bp/2np1pp1/4p3/2PPP3/2N1BN2/PP3PPP/R2QKB1R b KQkq -,24
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -,10
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,-4
4k2r/2n2p1p/6p1/3n4/5Q2/8/5PPP/6K1 w - -,-198
r1bqkb1r/pppp1ppp/2n5/8/2Bpn3/5N2/PPP2PPP/RNBQ1RK1 w kq -,-182
